# [2025-02-18 16:19:10,120] INFO: Loading Hamiltonian from saved file
# [2025-02-18 16:19:12,632] INFO: Setting up the training loop
# [2025-02-18 16:19:13,921] INFO: Initializing parameters and states
# [2025-02-18 16:19:23,513] INFO: Burning in the sampler for 100 steps
# [2025-02-18 16:19:31,114] INFO: Start training
# HF energy from loaded: -86.35355428968002
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
620	-87.0638	-87.0638	-62.1422	0.7138	60.9214	0.7004	2.7e-04	9.7585
621	-87.0581	-87.0581	-62.1333	0.7137	60.9055	0.7002	2.7e-04	9.7514
622	-87.0415	-87.0415	-63.3957	0.7283	59.5753	0.6852	2.7e-04	9.7607
623	-87.0551	-87.0551	-62.3013	0.7157	60.7601	0.6985	2.7e-04	9.7598
624	-87.0474	-87.0474	-63.0327	0.7241	59.9758	0.6896	2.7e-04	9.7587
625	-87.0603	-87.0603	-63.1306	0.7251	59.8581	0.6883	2.7e-04	9.7616
626	-87.0782	-87.0782	-62.4568	0.7172	60.6105	0.6968	2.7e-04	9.7593
627	-87.0510	-87.0510	-62.6630	0.7198	60.3711	0.6941	2.7e-04	9.7521
628	-87.0728	-87.0728	-63.4566	0.7288	59.5575	0.6847	2.7e-04	9.7598
629	-87.0678	-87.0678	-62.8555	0.7219	60.1665	0.6919	2.7e-04	9.7564
630	-87.0628	-87.0628	-62.7000	0.7202	60.3390	0.6938	2.7e-04	9.7654
631	-87.0421	-87.0421	-62.5009	0.7181	60.5218	0.6959	2.7e-04	9.7594
632	-87.0536	-87.0536	-63.1158	0.7250	59.8959	0.6887	2.7e-04	9.7627
633	-87.0681	-87.0681	-62.8200	0.7215	60.2220	0.6924	2.7e-04	9.7564
634	-87.0415	-87.0415	-62.9032	0.7227	60.0762	0.6909	2.7e-04	9.7643
635	-87.0190	-87.0190	-62.9047	0.7229	60.0749	0.6910	2.7e-04	9.7639
636	-87.0592	-87.0592	-63.0023	0.7237	60.0091	0.6901	2.7e-04	9.7665
637	-87.0056	-87.0056	-62.6022	0.7195	60.3669	0.6943	2.7e-04	9.7563
638	-87.0482	-87.0482	-62.5328	0.7184	60.4806	0.6956	2.7e-04	9.7646
639	-87.0518	-87.0518	-62.2976	0.7156	60.7350	0.6984	2.7e-04	9.7544
640	-87.0637	-87.0637	-61.3899	0.7051	61.6632	0.7091	2.7e-04	9.7687
641	-87.0740	-87.0740	-61.6057	0.7075	61.4543	0.7067	2.7e-04	9.7650
642	-87.0394	-87.0394	-61.6849	0.7087	61.3329	0.7055	2.7e-04	9.7646
643	-87.0772	-87.0772	-60.7803	0.6980	62.2813	0.7160	2.7e-04	9.7591
644	-87.0486	-87.0486	-61.2297	0.7034	61.7954	0.7108	2.7e-04	9.7571
645	-87.0918	-87.0919	-60.0261	0.6892	63.0479	0.7245	2.7e-04	9.7583
646	-87.0621	-87.0622	-60.2899	0.6925	62.7435	0.7214	2.7e-04	9.7635
647	-87.0533	-87.0534	-60.0301	0.6896	62.9677	0.7242	2.7e-04	9.7642
648	-87.0921	-87.0922	-59.9267	0.6881	63.1103	0.7256	2.7e-04	9.7654
649	-87.0643	-87.0644	-59.9551	0.6886	63.0670	0.7251	2.7e-04	9.7643
650	-87.0730	-87.0731	-60.5291	0.6952	62.5055	0.7188	2.7e-04	9.7648
651	-87.0453	-87.0457	-59.2544	0.6807	63.6816	0.7324	2.7e-04	9.7534
652	-87.0911	-87.0913	-59.6617	0.6850	63.3686	0.7285	2.7e-04	9.7619
