# [2025-02-18 16:22:25,661] INFO: Loading Hamiltonian from saved file
# [2025-02-18 16:22:28,170] INFO: Setting up the training loop
# [2025-02-18 16:22:29,463] INFO: Initializing parameters and states
# [2025-02-18 16:22:38,922] INFO: Burning in the sampler for 100 steps
# [2025-02-18 16:22:46,244] INFO: Start training
# HF energy from loaded: -73.26973745387136
# step	loss	e_tot	exp_es	exp_s	std_es	std_s	lr	time
48	-73.7038	-73.7038	-73.4774	0.9969	5.8554	0.0783	3.0e-04	9.4660
49	-73.6979	-73.6979	-73.4791	0.9970	5.7680	0.0770	3.0e-04	9.4636
50	-73.7037	-73.7037	-73.4950	0.9972	5.6327	0.0752	3.0e-04	9.4642
51	-73.7084	-73.7084	-73.4969	0.9971	5.6755	0.0757	3.0e-04	9.4688
52	-73.7270	-73.7270	-73.5248	0.9973	5.5517	0.0740	3.0e-04	9.4606
53	-73.7369	-73.7369	-73.5383	0.9973	5.5008	0.0733	3.0e-04	9.4646
54	-73.7079	-73.7079	-73.5122	0.9973	5.4656	0.0728	3.0e-04	9.4628
55	-73.7113	-73.7113	-73.5162	0.9974	5.4576	0.0727	3.0e-04	9.4640
56	-73.7493	-73.7493	-73.5492	0.9973	5.5235	0.0736	3.0e-04	9.4634
57	-73.7279	-73.7279	-73.5267	0.9973	5.5338	0.0738	3.0e-04	9.4638
58	-73.7365	-73.7365	-73.5385	0.9973	5.4894	0.0732	3.0e-04	9.4619
59	-73.7510	-73.7510	-73.5502	0.9973	5.5297	0.0737	3.0e-04	9.4639
60	-73.7546	-73.7546	-73.5406	0.9971	5.7039	0.0761	3.0e-04	9.4565
61	-73.7446	-73.7446	-73.5329	0.9971	5.6744	0.0757	3.0e-04	9.4593
62	-73.7787	-73.7787	-73.5615	0.9971	5.7463	0.0767	3.0e-04	9.4602
63	-73.7446	-73.7446	-73.5215	0.9970	5.8205	0.0777	3.0e-04	9.4595
64	-73.7659	-73.7659	-73.5312	0.9968	5.9691	0.0797	3.0e-04	9.4588
65	-73.7499	-73.7499	-73.5139	0.9968	5.9843	0.0799	3.0e-04	9.4587
66	-73.7600	-73.7600	-73.5171	0.9967	6.0690	0.0811	3.0e-04	9.4574
67	-73.7757	-73.7757	-73.5379	0.9968	6.0092	0.0802	3.0e-04	9.4680
68	-73.7904	-73.7904	-73.5392	0.9966	6.1745	0.0824	3.0e-04	9.4609
69	-73.7732	-73.7732	-73.5233	0.9966	6.1527	0.0822	3.0e-04	9.4619
70	-73.7579	-73.7579	-73.5060	0.9966	6.1743	0.0826	3.0e-04	9.4609
71	-73.7743	-73.7743	-73.5247	0.9966	6.1509	0.0822	3.0e-04	9.4657
72	-73.8015	-73.8015	-73.5336	0.9964	6.3648	0.0851	3.0e-04	9.4622
73	-73.7841	-73.7841	-73.5054	0.9962	6.4937	0.0868	3.0e-04	9.4669
74	-73.7993	-73.7993	-73.5069	0.9960	6.6434	0.0889	3.0e-04	9.4618
75	-73.7702	-73.7702	-73.4807	0.9961	6.6148	0.0885	3.0e-04	9.4671
76	-73.8107	-73.8107	-73.5074	0.9959	6.7722	0.0906	3.0e-04	9.4670
77	-73.7859	-73.7859	-73.4739	0.9958	6.8601	0.0919	3.0e-04	9.4696
78	-73.7963	-73.7963	-73.4627	0.9955	7.0852	0.0950	3.0e-04	9.4691
79	-73.7956	-73.7956	-73.4436	0.9952	7.2718	0.0975	3.0e-04	9.4727
80	-73.8037	-73.8037	-73.4411	0.9951	7.3827	0.0990	3.0e-04	9.4625
81	-73.8221	-73.8221	-73.4497	0.9950	7.4711	0.1002	3.0e-04	9.4627
82	-73.7905	-73.7905	-73.4079	0.9948	7.5827	0.1017	3.0e-04	9.4697
83	-73.7856	-73.7856	-73.3932	0.9947	7.6772	0.1030	3.0e-04	9.4627
84	-73.8115	-73.8115	-73.4152	0.9946	7.7073	0.1035	2.9e-04	9.4652
85	-73.8111	-73.8111	-73.4148	0.9946	7.7113	0.1035	2.9e-04	9.4693
86	-73.8316	-73.8316	-73.4144	0.9943	7.9072	0.1062	2.9e-04	9.4668
87	-73.8264	-73.8264	-73.3994	0.9942	7.9926	0.1074	2.9e-04	9.4653
88	-73.8206	-73.8206	-73.3752	0.9940	8.1677	0.1097	2.9e-04	9.4646
89	-73.8082	-73.8082	-73.3617	0.9940	8.1716	0.1098	2.9e-04	9.4676
90	-73.8154	-73.8154	-73.3657	0.9939	8.1978	0.1102	2.9e-04	9.4682
91	-73.8149	-73.8149	-73.3563	0.9938	8.2780	0.1113	2.9e-04	9.4660
92	-73.8144	-73.8144	-73.3496	0.9937	8.3393	0.1120	2.9e-04	9.4672
93	-73.8457	-73.8457	-73.3881	0.9938	8.2728	0.1111	2.9e-04	9.4709
94	-73.8262	-73.8262	-73.3558	0.9936	8.3879	0.1127	2.9e-04	9.4575
95	-73.8204	-73.8204	-73.3376	0.9935	8.4945	0.1142	2.9e-04	9.4613
96	-73.8464	-73.8464	-73.3421	0.9932	8.6754	0.1167	2.9e-04	9.4573
97	-73.8366	-73.8366	-73.3427	0.9933	8.5914	0.1154	2.9e-04	9.4631
98	-73.8363	-73.8363	-73.3262	0.9931	8.7274	0.1173	2.9e-04	9.4654
99	-73.8282	-73.8282	-73.3159	0.9931	8.7449	0.1176	2.9e-04	9.4583
100	-73.8370	-73.8370	-73.3121	0.9929	8.8462	0.1190	2.9e-04	9.4605
101	-73.8260	-73.8260	-73.3059	0.9930	8.8046	0.1185	2.9e-04	9.4557
